KET_name;english_name;Synonym
Augmented Reality;Augmented Reality;"Augmented-reality; Enhanced reality; Reality Augmentation"
Big Data Analytics;Big Data Analytics;
Cloud;Cloud;Cloud-computing
Cobot;Cobot;"co-robot; collaborative robot"
Cybersecurity;Cybersecurity;"cyber security; Computer security; information technology security; IT security "
e-Commerce;e-Commerce;"online commerce; e-business; electronic commerce; electronic business"
ERP;ERP;Enterprise resource planning
IOT;IOT;Internet of Things
Pagamenti Mobile Internet;On-line payment;"e-payment; online payment"
RFID;RFID;"Radio-frequency identification; Radio-frequency identification; Radiofrequency identification; RF/ID; RF ID tag"
Sistemi EDI;EDI system;"Electronic data interchange; "
Stampante 3D;3D Printing;"additive manufacturing; 3-D printing; 3 D printing"
